pathname,basename,parsed
F:\Film\Dungeons.and.Dragons.2.DvDrip[2005]Wrath.of.the.Dragon.God[Aka.The.Elemental.Might]-aXXo.avi,Dungeons.and.Dragons.2.DvDrip[2005]Wrath.of.the.Dragon.God[Aka.The.Elemental.Might]-aXXo.avi,Dungeons and Dragons 2 DvDrip aXXo avi (2005)
"F:\Film\Eleven Hungry Cats (The 11 Cats, 11ぴきのねこ) (1980) (ENG subtitles).mkv","Eleven Hungry Cats (The 11 Cats, 11ぴきのねこ) (1980) (ENG subtitles).mkv","Eleven Hungry Cats (The 11 Cats, 11ぴきのねこ) (ENG subtitles) mkv (1980)"
F:\Film\Encino Man.mp4,Encino Man.mp4,Encino Man mp4
F:\Film\Event Horizon 1997 Remastered 720p BluRay H264 BONE.mp4,Event Horizon 1997 Remastered 720p BluRay H264 BONE.mp4,Event Horizon Remastered mp4 (1997)
F:\Film\Flushed Away 2006 HDRip H.264 720.mp4,Flushed Away 2006 HDRip H.264 720.mp4,Flushed Away Rip H 720 mp4 (2006)
F:\Film\Four Lions 2010 720p BluRay H264 BONE.mp4,Four Lions 2010 720p BluRay H264 BONE.mp4,Four Lions mp4 (2010)
F:\Film\Freddy Got Fingered 2001 720p WEB-DL H264 BONE.mp4,Freddy Got Fingered 2001 720p WEB-DL H264 BONE.mp4,Freddy Got Fingered mp4 (2001)
F:\Film\Full Metal Jacket 1987.REMASTERED.720p.BluRay.x264.999MB-Mkvking.mkv,Full Metal Jacket 1987.REMASTERED.720p.BluRay.x264.999MB-Mkvking.mkv,Full Metal Jacket REMASTERED mkv (1987)
F:\Film\George Of The Jungle 2.2003 DVDrip XVID-Smr.avi,George Of The Jungle 2.2003 DVDrip XVID-Smr.avi,George Of The Jungle 2 DVDrip XVID Smr avi (2003)
F:\Film\Get Out 2017.720p.BRRiP.950MB.ShAaNiG.mkv,Get Out 2017.720p.BRRiP.950MB.ShAaNiG.mkv,Get Out BRRiP ShAaNiG mkv (2017)
F:\Film\Heavyweights.1995.720p.HDRip.x264.AAC.mp4,Heavyweights.1995.720p.HDRip.x264.AAC.mp4,Heavyweights Rip mp4 (1995)
"F:\Film\How High (DvDrip, Xvid).avi","How High (DvDrip, Xvid).avi","How High (DvDrip, Xvid) avi"
F:\Film\Hush.2016.720p.WEBRiP.700MB.ShAaNiG.mkv,Hush.2016.720p.WEBRiP.700MB.ShAaNiG.mkv,Hush RiP ShAaNiG mkv (2016)
F:\Film\Independence Day 1996.EXTENDED.1080p.BluRay.6CH.ShAaNiG.mkv,Independence Day 1996.EXTENDED.1080p.BluRay.6CH.ShAaNiG.mkv,Independence Day EXTENDED 6CH ShAaNiG mkv (1996)
F:\Film\Kaguya-Sama Love Is War 2019 720p BluRay Japanese HEVC H265 BONE.mp4,Kaguya-Sama Love Is War 2019 720p BluRay Japanese HEVC H265 BONE.mp4,Kaguya Sama Love Is War Japanese H265 mp4 (2019)
F:\Film\Kundun 1997.1080p.BluRay.x264.[ExYu-Subs].mp4,Kundun 1997.1080p.BluRay.x264.[ExYu-Subs].mp4,Kundun mp4 (1997)
F:\Film\Maniac 1980.1080p.BluRay.H264.AAC.mp4,Maniac 1980.1080p.BluRay.H264.AAC.mp4,Maniac mp4 (1980)
F:\Film\Maria Bamford - The Special Special Special.mkv,Maria Bamford - The Special Special Special.mkv,Maria Bamford The Special Special Special mkv
F:\Film\Mighty Morphin Power Rangers The Movie 1995.HBO.WEB-DL.1080p.DD5.1.H.264-AJP69.mkv,Mighty Morphin Power Rangers The Movie 1995.HBO.WEB-DL.1080p.DD5.1.H.264-AJP69.mkv,Mighty Morphin Power Rangers The Movie HBO 1 H AJP69 mkv (1995)
F:\Film\Monster University (2013) BluRay 1080p 5.1CH x264 Ganool.mkv,Monster University (2013) BluRay 1080p 5.1CH x264 Ganool.mkv,Monster University 5 1CH Ganool mkv (2013)
F:\Film\Obvious.Child.2014.720p.BluRay.650MB.ShAaNiG.mkv,Obvious.Child.2014.720p.BluRay.650MB.ShAaNiG.mkv,Obvious Child ShAaNiG mkv (2014)
F:\Film\Paper Flower 2019 720p Korean HDRip H264 BONE.mp4,Paper Flower 2019 720p Korean HDRip H264 BONE.mp4,Paper Flower Korean Rip mp4 (2019)
F:\Film\payback.1999.1080p.bluray.dd5.1.hevc.x265.rmteam.mkv,payback.1999.1080p.bluray.dd5.1.hevc.x265.rmteam.mkv,payback bluray dd5 1 hevc rmteam mkv (1999)
F:\Film\Pleasantville 1998.720p.BR.850MB.ShAaNiG.com.mkv,Pleasantville 1998.720p.BR.850MB.ShAaNiG.com.mkv,mkv (1998)
F:\Film\Pokémon Detective Pikachu 2019.1080p.HDRip.x264-MkvCage.ws.mkv,Pokémon Detective Pikachu 2019.1080p.HDRip.x264-MkvCage.ws.mkv,Pokémon Detective Pikachu Rip MkvCage ws mkv (2019)
"F:\Film\Pokemon S02M01 The Movie 2000 The Power of One [Extended, Japanese Credits] (1999 360p re-blurip).mp4","Pokemon S02M01 The Movie 2000 The Power of One [Extended, Japanese Credits] (1999 360p re-blurip).mp4",Pokemon S02M01 The Movie The Power of One 360p re blurip) mp4 (2000)
F:\Film\Pokemon S02M01X01 Pikachu's Winter Vacation [Japanese] (1999).360p.mp4,Pokemon S02M01X01 Pikachu's Winter Vacation [Japanese] (1999).360p.mp4,Pokemon S02M01X01 Pikachu's Winter Vacation 360p mp4 (1999)
F:\Film\Pokemon S03M01 3 The Movie Spell of the Unown (2000 360p re-dvdrip).mp4,Pokemon S03M01 3 The Movie Spell of the Unown (2000 360p re-dvdrip).mp4,Pokemon S03M01 3 The Movie Spell of the Unown 360p re dvdrip) mp4 (2000)
F:\Film\Pokemon S03M01X01 Pikachu the Movie 2001 (2000 360p).mp4,Pokemon S03M01X01 Pikachu the Movie 2001 (2000 360p).mp4,Pokemon S03M01X01 Pikachu the Movie 360p) mp4 (2001)
F:\Film\Pokemon S04M01 Mewtwo Returns (2000 360p re-dvdrip).mp4,Pokemon S04M01 Mewtwo Returns (2000 360p re-dvdrip).mp4,Pokemon S04M01 Mewtwo Returns 360p re dvdrip) mp4 (2000)
F:\Film\Pokemon S04M02 4Ever Celebi Voice of the Forest (2001 360p re-dvdrip).mp4,Pokemon S04M02 4Ever Celebi Voice of the Forest (2001 360p re-dvdrip).mp4,Pokemon S04M02 4Ever Celebi Voice of the Forest 360p re dvdrip) mp4 (2001)
F:\Film\Pokemon S05M01 Heroes Latios and Latias [Japanese Credits] (2002 360p re-dvdrip).mp4,Pokemon S05M01 Heroes Latios and Latias [Japanese Credits] (2002 360p re-dvdrip).mp4,Pokemon S05M01 Heroes Latios and Latias 360p re dvdrip) mp4 (2002)
F:\Film\Pokemon S05M01X01 Camp Pikachu (2002 360p).mp4,Pokemon S05M01X01 Camp Pikachu (2002 360p).mp4,Pokemon S05M01X01 Camp Pikachu 360p) mp4 (2002)
F:\Film\Pokemon S06M01 Jirachi Wish Maker (2003 360p re-dvdrip).mp4,Pokemon S06M01 Jirachi Wish Maker (2003 360p re-dvdrip).mp4,Pokemon S06M01 Jirachi Wish Maker 360p re dvdrip) mp4 (2003)
F:\Film\Pokemon S06M01X01 Gotta Dance (2003 360p).mp4,Pokemon S06M01X01 Gotta Dance (2003 360p).mp4,Pokemon S06M01X01 Gotta Dance 360p) mp4 (2003)
F:\Film\Pokemon S07M01 Destiny Deoxys (2004 360p re-dvdrip).mp4,Pokemon S07M01 Destiny Deoxys (2004 360p re-dvdrip).mp4,Pokemon S07M01 Destiny Deoxys 360p re dvdrip) mp4 (2004)
F:\Film\Pokemon S08M01 Lucario And The Mystery Of Mew [Japanese Credits] (2005 360p re-dvdrip).mp4,Pokemon S08M01 Lucario And The Mystery Of Mew [Japanese Credits] (2005 360p re-dvdrip).mp4,Pokemon S08M01 Lucario And The Mystery Of Mew 360p re dvdrip) mp4 (2005)
F:\Film\Pokemon S09M01 Pokemon Ranger and the Temple of the Sea (2006 360p re-dvdrip).mp4,Pokemon S09M01 Pokemon Ranger and the Temple of the Sea (2006 360p re-dvdrip).mp4,Pokemon S09M01 Pokemon Ranger and the Temple of the Sea 360p re dvdrip) mp4 (2006)
F:\Film\Pokemon S09M02 The Mastermind of Mirage Pokemon (2006 360p re-tvrip).mp4,Pokemon S09M02 The Mastermind of Mirage Pokemon (2006 360p re-tvrip).mp4,Pokemon S09M02 The Mastermind of Mirage Pokemon 360p re tvrip) mp4 (2006)
F:\Film\Pokemon S17M01 Diancie and the Cocoon of Destruction (2014 360p re-tvrip).mp4,Pokemon S17M01 Diancie and the Cocoon of Destruction (2014 360p re-tvrip).mp4,Pokemon S17M01 Diancie and the Cocoon of Destruction 360p re tvrip) mp4 (2014)
F:\Film\Pokemon S18M01 Hoopla and the Clash of Ages (2015 360p re-webrip).mp4,Pokemon S18M01 Hoopla and the Clash of Ages (2015 360p re-webrip).mp4,Pokemon S18M01 Hoopla and the Clash of Ages 360p re webrip) mp4 (2015)
F:\Film\Pokemon S19M01 Volcanion and the Mechanical Marvel (2016 360p re-tvrip).mp4,Pokemon S19M01 Volcanion and the Mechanical Marvel (2016 360p re-tvrip).mp4,Pokemon S19M01 Volcanion and the Mechanical Marvel 360p re tvrip) mp4 (2016)
F:\Film\Romy and Michele's High School Reunion (1997).mp4,Romy and Michele's High School Reunion (1997).mp4,Romy and Michele's High School Reunion mp4 (1997)
F:\Film\Sleeper (Woody Allen 1973) DivX DVDRip.avi,Sleeper (Woody Allen 1973) DivX DVDRip.avi,Sleeper (Woody Allen DivX avi (1973)
F:\Film\Slither 2006 Remastered 720p BluRay H264 BONE.mp4,Slither 2006 Remastered 720p BluRay H264 BONE.mp4,Slither Remastered mp4 (2006)
F:\Film\Spider-Man.Far.from.Home.2019.1080p.BluRay.x264.AC3-MkvCage.mkv,Spider-Man.Far.from.Home.2019.1080p.BluRay.x264.AC3-MkvCage.mkv,Spider Man Far from Home MkvCage mkv (2019)
F:\Film\Spider-Man.Into.the.Spider-Verse.2018.1080p.BRRip.x264-MkvCage.ws.mkv,Spider-Man.Into.the.Spider-Verse.2018.1080p.BRRip.x264-MkvCage.ws.mkv,Spider Man Into the Spider Verse MkvCage ws mkv (2018)
F:\Film\Terminator Dark Fate (2019) Blu-Ray 720p ORG (DD 5.1) [Hindi + Eng] x264 AC3 ESub By Full4Movies.mkv,Terminator Dark Fate (2019) Blu-Ray 720p ORG (DD 5.1) [Hindi + Eng] x264 AC3 ESub By Full4Movies.mkv,Terminator Dark Fate Blu Ray ORG (DD 5 1) ESub By Full4Movies mkv (2019)
F:\Film\The Abyss [1989] =Uncut Special Edition=.mkv,The Abyss [1989] =Uncut Special Edition=.mkv,The Abyss [] =Uncut Special Edition= mkv (1989)
F:\Film\The Grudge.avi,The Grudge.avi,The Grudge avi
F:\Film\The Hudsucker Proxy (1994) BluRay 720p 700MB Ganool.mkv,The Hudsucker Proxy (1994) BluRay 720p 700MB Ganool.mkv,The Hudsucker Proxy Ganool mkv (1994)
F:\Film\The Iron Giant 1999.720p.BluRay.800MB.ShAaNiG.mkv,The Iron Giant 1999.720p.BluRay.800MB.ShAaNiG.mkv,The Iron Giant ShAaNiG mkv (1999)
F:\Film\The Secret Life of Pets 2016.720p.HDRiP.750MB.ShAaNiG.mkv,The Secret Life of Pets 2016.720p.HDRiP.750MB.ShAaNiG.mkv,The Secret Life of Pets RiP ShAaNiG mkv (2016)
F:\Film\the.aristocrats.limited.dvdrip.xvid-submerge.avi,the.aristocrats.limited.dvdrip.xvid-submerge.avi,the aristocrats limited dvdrip xvid submerge avi
F:\Film\Vampire in Brooklyn 1995 1080p BluRay x264 5.1 BONE.mkv,Vampire in Brooklyn 1995 1080p BluRay x264 5.1 BONE.mkv,Vampire in Brooklyn 5 1 mkv (1995)
F:\Film\Weathering with You (Tenki no Ko) [1080p][x265].mkv,Weathering with You (Tenki no Ko) [1080p][x265].mkv,Weathering with You (Tenki no Ko) mkv
